name,brand,model,version,nbDoor,nbSeats,turningCircle,turningRadius,length,width,widthWSideMirror,height,wheelbase,wheelTrackFront,trackWidthRear,Clearance,luggageCapacity,luggageMin
Mitsubishi Lancer Evolution III 2.0 Turbo 270KM 199kW 1995-1996,lancer-evolution,iii,silnik-benzynowy-2.0-turbo-270km-1995-1996,4,5,4310 mm,1695 mm,1420 mm,2510 mm,1465 mm,1470 mm,175 mm,od 1995 do 1996 roku,1997 cm³,benzynowy,270 , (199 
Mitsubishi Lancer Evolution IV 2.0 Turbo 280KM 206kW 1996-1998,lancer-evolution,iv,silnik-benzynowy-2.0-turbo-280km-1996-1998,4,5,4330 mm,1690 mm,1415 mm,2510 mm,1470 mm,1470 mm,155 mm,od 1996 do 1998 roku,1997 cm³,benzynowy,280 , (206 
Mitsubishi Lancer Evolution VII 2.0 Turbo 280KM 206kW 2001-2003,lancer-evolution,vii,silnik-benzynowy-2.0-turbo-280km-2001-2003,4,5,4455 mm,1770 mm,1450 mm,2625 mm,1515 mm,1515 mm,140 mm,1010 mm,485 mm,885 mm,470 mm,1880 mm
Mitsubishi Galant III,mitsubishi,galant,iii,4,5,4330 mm,1655 mm,1355 mm,2515 mm,1350 mm,1340 mm,780 mm,1035 mm,165 mm,925 mm,475 mm,230 mm
Mitsubishi Pajero Pinin,mitsubishi,pajero,pinin,5,5,10.8 m,5.4 m,4035 mm,1695 mm,1700 mm,1735 mm,2450 mm,1435 mm,1445 mm,755 mm,830 mm,200 mm
Mitsubishi Pajero Sport I,mitsubishi,pajero-sport,i,5,5,11.5 m,5.8 m,4610 mm,1695 mm,1720 mm,2725 mm,1420 mm,1435 mm,830 mm,1055 mm,205 mm,220 mm
Mitsubishi Lancer VIII Sedan 1.6 i 16V 98KM 2004,mitsubishi,lancer,i,4,4105 mm,1545 mm,1355 mm,2340 mm,1285 mm,1255 mm,775 mm,990 mm,915 mm,475 mm,880 mm,445 mm,1690 mm
Mitsubishi Pajero III,mitsubishi,pajero,iii,3,5,5.3 m,10.6 m,4610 mm,1775 mm,1735 mm,2725 mm,1465 mm,1480 mm,710 mm,1025 mm,215 mm,1253 l
Mitsubishi Lancer II,mitsubishi,lancer,ii,4,5,4225 mm,1620 mm,1385 mm,2440 mm,1335 mm,1325 mm,750 mm,1035 mm,165 mm,470 mm,460 mm,1750 mm
Mitsubishi Lancer Evolution IX 2.0 Turbo 280KM 206kW 2005-2007,lancer-evolution,ix,silnik-benzynowy-2.0-turbo-280km-2005-2007,4,5,4490 mm,1770 mm,1450 mm,2625 mm,1515 mm,1515 mm,140 mm,od 2005 do 2007 roku,1997 cm³,benzynowy,280 , (206 
Mitsubishi Sapporo II,mitsubishi,sapporo,ii,2,5,4525 mm,1675 mm,1355 mm,2530 mm,1375 mm,1385 mm,915 mm,1080 mm,155 mm,995 mm,480 mm,880 mm
Mitsubishi Sapporo III 2.3 124KM 91kW 1987-1990,sapporo,iii,silnik-benzynowy-2.3-124km-1987-1990,4,5,4670 mm,1700 mm,1380 mm,2610 mm,od 1987 do 1990 roku,2351 cm³,benzynowy,124 , (91 ,) przy 5000 obr/min,189 , przy 3500 obr/min
Mitsubishi Space Star Hatchback 5d Facelifting,mitsubishi,space-star,hatchback-5d-facelifting,5,5,9.2 m,4.6 m,3795 mm,1665 mm,1505 mm,2450 mm,1430 mm,1415 mm,745 mm,600 mm,150 mm,912 l
Mitsubishi Eclipse Cross SUV PHEV 2.4 188KM 2021,mitsubishi,eclipse-cross,suv,5,5,10.6 m,5.3 m,4405 mm,1805 mm,1685 mm,2670 mm,1545 mm,1545 mm,183 mm,341 l,18.8 °,29.6 °
Mitsubishi ASX SUV 1.8 DID MIVEC 116KM 2011,mitsubishi,asx,suv,5,5,10.6 m,5.3 m,4295 mm,1770 mm,1615 mm,1625 mm,2670 mm,1525 mm,1525 mm,195 mm,1193 l,419 l
Mitsubishi Outlander I 2.0 i 16V 136KM 2006,mitsubishi,outlander,ii,5,5,11.5 m,5.8 m,4665 mm,1800 mm,1680 mm,1720 mm,2670 mm,1540 mm,1540 mm,990 mm,1005 mm,176 mm
Mercedes Viano Van,mercedes,viano,van,4,8,12.6 m,6.3 m,4748 mm,1901 mm,2258 mm,2010 mm,1872 mm,3200 mm,783 mm,145 mm,970 l,518 mm
Mercedes Viano Van Facelifting,mercedes,viano,van-facelifting,5,8,11.0 m,4763 mm,1901 mm,2253 mm,1875 mm,1923 mm,3200 mm,1338 mm,1196 mm,1428 mm,1405 mm,2409 mm
Mercedes W123 Sedan,mercedes,w123,sedan,4,5,4725 mm,1786 mm,1438 mm,2795 mm,1488 mm,1446 mm,165 mm,484 mm,973 mm,652 mm,948 mm,1476 mm
Mitsubishi Diamante II,mitsubishi,diamante,ii,4,5,4785 mm,1785 mm,1435 mm,2720 mm,1535 mm,1545 mm,920 mm,1070 mm,165 mm,990 mm,505 mm,900 mm
Mitsubishi Eclipse Cross SUV PHEV 2.4 188KM 138kW od 2021,eclipse-cross,suv-phev,silnik-hybrydowy-2.4-188km-od-2021,5,5,10.6 m,5.3 m,4545 mm,1805 mm,2166 mm,1685 mm,2670 mm,1540 mm,1540 mm,990 mm,885 mm,184 mm
Mitsubishi Outlander I,mitsubishi,outlander,i,5,5,11.4 m,5.7 m,4550 mm,1780 mm,1605 mm,1685 mm,2625 mm,1495 mm,1505 mm,170 mm,1000 mm,495 mm
Mitsubishi Carisma Hatchback,mitsubishi,carisma,hatchback,5,5,11.6 m,5.8 m,4475 mm,1710 mm,1405 mm,2550 mm,1475 mm,1470 mm,905 mm,1020 mm,155 mm,660 l
Mercedes W123 Sedan 3.0 D 88KM 1978,mercedes,w123,kombi,5,5,4725 mm,1786 mm,1470 mm,2795 mm,1488 mm,1453 mm,975 mm,952 mm,1422 mm,1410 mm,1476 mm,1481 mm
Mercedes W124 Sedan 2.5 D 94KM 1991,mercedes,w124,coupe,2,4,5.8 m,11.7 m,4655 mm,1740 mm,1395 mm,2715 mm,1501 mm,1491 mm,815 mm,1125 mm,484 mm,952 mm
Mercedes W124 Kombi,mercedes,w124,kombi,5,5,11.2 m,5.6 m,4765 mm,1740 mm,1460 mm,1490 mm,2800 mm,1497 mm,1488 mm,815 mm,1150 mm,145 mm
Mercedes W124 Cabrio,mercedes,w124,cabrio,2,5,4655 mm,1740 mm,1391 mm,2715 mm,1501 mm,1491 mm,815 mm,1125 mm,484 mm,954 mm,490 mm,598 mm
Mercedes W124 Sedan,mercedes,w124,sedan,4,5,11.2 m,5.6 m,4740 mm,1740 mm,1431 mm,2800 mm,1501 mm,1491 mm,815 mm,1125 mm,150 mm,482 mm
Mitsubishi ASX SUV Facelifting,mitsubishi,asx,suv-facelifting,5,5,10.6 m,5.3 m,4295 mm,1770 mm,1615 mm,2670 mm,1525 mm,1530 mm,195 mm,495 mm,455 mm,1169 l
Mercedes W124 Coupe AMG 3.6 AMG 272KM 200kW 1993-1996,w124,coupe-amg,silnik-benzynowy-3.6-amg-272km-1993-1996,2,4,5.8 m,11.7 m,4655 mm,1740 mm,1395 mm,2715 mm,1501 mm,1491 mm,815 mm,1125 mm,484 mm,952 mm
Mitsubishi 3000GT I,mitsubishi,3000gt,i,2,4,4544 mm,1839 mm,1285 mm,2470 mm,1560 mm,1580 mm,145 mm,910 mm,500 mm,945 mm,1510 mm,1076 mm
Mitsubishi ASX SUV Facelifting 2015,mitsubishi,asx,suv-facelifting-2015,5,5,5.3 m,4295 mm,1770 mm,2080 mm,1615 mm,1625 mm,2670 mm,1525 mm,1530 mm,195 mm,180 mm,495 mm
Mercedes W124 Cabrio AMG 3.4 AMG 252KM 185kW 1992-1997,w124,cabrio-amg,silnik-benzynowy-3.4-amg-252km-1992-1997,2,5,4655 mm,1740 mm,1391 mm,2715 mm,1501 mm,1491 mm,815 mm,1125 mm,484 mm,954 mm,490 mm,598 mm
Mitsubishi ASX SUV Facelifting 2016 1.6 117KM 2019,mitsubishi,asx,suv-facelifting-2016,5,5,10.6 m,5.3 m,4355 mm,1770 mm,2080 mm,1640 mm,2670 mm,1525 mm,1530 mm,190 mm,180 mm,1219 l
Mercedes W124 Kombi AMG 3.6 AMG 272KM 200kW 1993-1996,w124,kombi-amg,silnik-benzynowy-3.6-amg-272km-1993-1996,5,5,11.2 m,5.6 m,4765 mm,1740 mm,1460 mm,1490 mm,2800 mm,1497 mm,1488 mm,815 mm,1150 mm,145 mm
Mitsubishi ASX SUV Facelifting 2019 2.0 150KM 110kW 2019-2021,asx,suv-facelifting-2019,silnik-benzynowy-2.0-150km-2019-2021,5,5,10.6 m,5.3 m,4365 mm,1770 mm,2080 mm,1640 mm,2670 mm,1525 mm,1530 mm,190 mm,406 l,20.1 °
Mitsubishi Colt I,mitsubishi,colt,i,2,9.8 m,3995 mm,1535 mm,1360 mm,2340 mm,1285 mm,1255 mm,735 mm,920 mm,165 mm,930 mm,460 mm,890 mm
Mercedes W124 Sedan AMG 6.0 AMG 381KM 280kW 1993-1994,w124,sedan-amg,silnik-benzynowy-6.0-amg-381km-1993-1994,4,5,11.2 m,5.6 m,4740 mm,1740 mm,1431 mm,2800 mm,1501 mm,1491 mm,815 mm,1125 mm,150 mm,482 mm
Mitsubishi L200 VI 2.2 Diesel 150KM 2021,l200,vi,silnik-diesla-2.2-diesel-150km-od-2019,4,5,11.8 m,5.9 m,5225 mm,5305 mm,1815 mm,1775 mm,3000 mm,1520 mm,1515 mm,885 mm,1340 mm,205 mm
Mitsubishi Colt III,mitsubishi,colt,iii,3,5,3950 mm,1670 mm,1380 mm,2385 mm,1430 mm,1430 mm,825 mm,680 mm,155 mm,1415 mm,1050 l,222 l
Mercedes Strich 8 Sedan W114,mercedes,strich-8,sedan-w114,4,5,10.9 m,4680 mm,1790 mm,3410 mm,1440 mm,1540 mm,1830 mm,2750 mm,1448 mm,1440 mm,775 mm,1155 mm
Mercedes SLS AMG Coupe,mercedes,sls-amg,coupe,2,2,11.9 m,4638 mm,1939 mm,2297 mm,2078 mm,2664 mm,1262 mm,2680 mm,1682 mm,1651 mm,942 mm,1016 mm
Mercedes Klasa R Off-roader 3.5 272KM 2006,mercedes,klasa-r,off-roader,5,6,12.4 m,6.2 m,4922 mm,1922 mm,2168 mm,1659 mm,2980 mm,1665 mm,1658 mm,922 mm,1020 mm,200 mm
Mercedes SLR McLaren Cabrio 5.4 i V8 24V Turbo 626KM 460kW od 2007,slr-mclaren,cabrio,silnik-benzynowy-5.4-i-v8-24v-turbo-626km-2007-2009,2,2,4656 mm,1908 mm,1903 mm,1261 mm,2700 mm,1638 mm,1569 mm,966 mm,990 mm,919 mm,1371 mm,1443 mm
Mercedes GLK Off-roader 3.0 320 CDI 4MATIC 224KM 2009,mercedes,glk,off-roader,5,5,11.5 m,4525 mm,1840 mm,2016 mm,1683 mm,1698 mm,1689 mm,2755 mm,1567 mm,1588 mm,813 mm,957 mm
Mercedes SLC Roadster,mercedes,slc,roadster,2,2,10.5 m,5.8 m,4133 mm,1810 mm,2006 mm,1301 mm,2430 mm,1559 mm,1565 mm,870 mm,833 mm,115 mm
Mercedes SLR McLaren Coupe 5.4 i V8 24V Turbo 626KM 460kW 2003-2016,slr-mclaren,coupe,silnik-benzynowy-5.4-i-v8-24v-turbo-626km-2003-2016,2,2,4656 mm,1908 mm,1281 mm,2700 mm,1638 mm,1569 mm,966 mm,990 mm,874 mm,1443 mm,1371 mm,272 l
Mercedes GLK Off-roader Facelifting,mercedes,glk,off-roader-facelifting,5,5,11.6 m,4536 mm,1840 mm,2016 mm,1669 mm,2755 mm,1674 mm,1597 mm,824 mm,957 mm,448 mm,1010 mm
Mercedes SLC Roadster AMG 3.0 43 AMG 367KM 270kW 2015-2019,slc,roadster-amg,silnik-benzynowy-3.0-43-amg-367km-2015-2019,2,2,10.5 m,5.8 m,4133 mm,1810 mm,2006 mm,1301 mm,2430 mm,1559 mm,1565 mm,870 mm,833 mm,115 mm
Mercedes SLS AMG Roadster,mercedes,sls-amg,roadster,2,2,11.9 m,4638 mm,1939 mm,2075 mm,1261 mm,2680 mm,1682 mm,1651 mm,942 mm,1016 mm,488 mm,965 mm
Mercedes SLC Roadster Facelifting,mercedes,slc,roadster-facelifting,2,2,10.5 m,5.2 m,4133 mm,1810 mm,2006 mm,1301 mm,2430 mm,1559 mm,1565 mm,870 mm,833 mm,115 mm
Mercedes Klasa R Off-roader długi Facelifting 350 CDI BlueTEC 4MATIC 211KM 2012,mercedes,klasa-r,off-roader-facelifting,5,5,4922 mm,1922 mm,2183 mm,1674 mm,2980 mm,1661 mm,1651 mm,922 mm,1020 mm,469 mm,1010 mm,510 mm
Mercedes Strich 8 Coupe W114,mercedes,strich-8,coupe-w114,2,5,10.9 m,4680 mm,1790 mm,3750 mm,1395 mm,1540 mm,1835 mm,2750 mm,1449 mm,1440 mm,775 mm,1155 mm
Mercedes MB-100 I 2.4 D 72KM 53kW 1989-1992,mb-100,i,silnik-diesla-2.4-d-72km-1989-1992,4,4470 mm,1810 mm,2060 mm,2450 mm,1520 mm,1510 mm,1310 mm,1415 mm,1145 mm,1415 mm,2710 mm,1640 mm,1495 mm
Mercedes SLC Roadster 2.0 200 184KM 2017,slc,roadster-amg-facelifting,silnik-benzynowy-3.0-43-amg-390km-2016-2020,2,2,10.5 m,5.2 m,4133 mm,1810 mm,2006 mm,1301 mm,2430 mm,1559 mm,1565 mm,870 mm,833 mm,115 mm
Mercedes Klasa R Off-roader AMG 63 AMG 510KM 375kW 2006-2010,klasa-r,off-roader-amg,silnik-benzynowy-63-amg-510km-2006-2010,5,6,11.4 m,6.2 m,4922 mm,1922 mm,2168 mm,1659 mm,2980 mm,1665 mm,1658 mm,922 mm,1020 mm,200 mm
Mercedes MB-100 II 2.4 D 75KM 55kW 1991-1995,mb-100,ii,silnik-diesla-2.4-d-75km-1991-1995,4,5340 mm,1855 mm,2105 mm,2480 mm,1520 mm,1520 mm,1360 mm,1300 mm,495 mm,1430 mm,1590 mm,1072 mm,3290 mm
Mercedes Vito W638,mercedes,vito,w638,4,6,4660 mm,1880 mm,2180 mm,1844 mm,3000 mm,1620 mm,1630 mm,809 mm,849 mm,512 mm,1036 mm,1050 mm
Mercedes Sprinter I,mercedes,sprinter,i,5,9,5585 mm,1933 mm,2435 mm,3550 mm,1638 mm,1630 mm,882 mm,1005 mm,189 mm,565 mm,23.0 °,16.0 °
