name,brand,model,version,nbDoor,nbSeats,turningCircle,turningRadius,length,width,widthWSideMirror,height,wheelbase,wheelTrackFront,trackWidthRear,Clearance,luggageCapacity,luggageMin
Opel Kapitan I 2.5 55KM 40kW 1938-1940,kapitan,i,silnik-benzynowy-2.5-55km-1938-1940,4,4630 mm,1670 mm,1600 mm,2700 mm,od 1938 do 1940 roku,benzynowy,55 , (40 ,),manualna,3,na tylną oś,118 km/h
Opel Kapitan V 2.5 75KM 55kW 1955-1958,kapitan,v,silnik-benzynowy-2.5-75km-1955-1958,4,5,4735 mm,1760 mm,1512 mm,2750 mm,200 mm,380 mm,845 mm,1180 mm,909 mm,470 mm,735 mm,886 mm
Mercedes AMG GT Roadster,mercedes,amg-gt,roadster,2,2,11.5 m,4544 mm,1939 mm,2075 mm,1259 mm,2630 mm,1684 mm,1651 mm,898 mm,1016 mm,94 mm,380 mm
Mercedes AMG GT Roadster Facelifting,mercedes,amg-gt,roadster-facelifting,2,2,11.5 m,4544 mm,1939 mm,2075 mm,1259 mm,2630 mm,1684 mm,1651 mm,898 mm,1016 mm,94 mm,165 l
Mercedes AMG GT Coupe 4d 3.0 43 367KM 2021,mercedes,amg-gt,coupe-4d-facelifting,5,4,12.6 m,6.3 m,5054 mm,1953 mm,2069 mm,1455 mm,2951 mm,1673 mm,1666 mm,911 mm,1192 mm,116 mm
Mercedes AMG GT Coupe 4d Plug-In 4.0 63S E PHEV 843KM 620kW od 2021,amg-gt,coupe-4d-plug-in,silnik-hybrydowy-4.0-63s-e-phev-843km-od-2021,4,4,12.3 m,6.2 m,5054 mm,1953 mm,2069 mm,1455 mm,2951 mm,1673 mm,1666 mm,911 mm,1192 mm,122 mm
Opel Agila A,opel,agila,a,5,4,9.8 m,4.9 m,3500 mm,1620 mm,1695 mm,2360 mm,1420 mm,1385 mm,135 mm,595 l,250 l,1400 mm
Opel Zafira A,opel,zafira,a,5,5,10.9 m,5.5 m,4317 mm,4518 mm,1742 mm,1999 mm,1630 mm,1684 mm,2694 mm,1487 mm,1470 mm,124 mm
Opel Movano I,opel,movano,i,4,3,5388 mm,1990 mm,2359 mm,2480 mm,3578 mm,1740 mm,1725 mm,851 mm,959 mm,528 mm,1516 mm,1632 mm
Opel GT I,opel,gt,i,2,4,4110 mm,1580 mm,1230 mm,2431 mm,1254 mm,1278 mm,570 mm,760 mm,570 mm,400 mm,900 mm,1270 mm
Opel Zafira B 1.9 CDTI ECOTEC 120KM 2010,opel,zafira,b,5,7,11.1 m,5.5 m,4467 mm,1801 mm,2026 mm,1801 mm,1645 mm,1670 mm,2703 mm,1488 mm,1510 mm,150 mm
Opel Agila B,opel,agila,b,5,19.2 m,9.6 m,3740 mm,1680 mm,1932 mm,1680 mm,1590 mm,2360 mm,1470 mm,1480 mm,1050 l,225 l,1004 mm
Opel Antara SUV Facelifting,opel,antara,suv-facelifting,5,5,12.2 m,6.1 m,4596 mm,1850 mm,2085 mm,1761 mm,2707 mm,1569 mm,1576 mm,946 mm,943 mm,155 mm
Opel Adam Hatchback,opel,adam,hatchback,3,4,9.8 m,3698 mm,1720 mm,1966 mm,1484 mm,2311 mm,1472 mm,1464 mm,190 mm,663 l,170 l,954 mm
Opel Antara 2007,opel,antara,suv,5,5,11.8 m,5.9 m,4575 mm,1850 mm,2085 mm,1850 mm,1704 mm,1761 mm,2707 mm,1562 mm,1572 mm,200 mm
Opel Adam Hatchback Rocks,opel,adam,hatchback-rocks,3,4,10.2 m,5.1 m,3747 mm,1720 mm,1966 mm,1493 mm,2311 mm,1472 mm,1464 mm,140 mm,663 l,170 l
Opel Adam Hatchback 1.2 70KM 2015,adam,hatchback-s,silnik-benzynowy-1.4-ecotec-150km-2015-2019,3,5,10.2 m,3708 mm,1720 mm,1966 mm,1484 mm,2311 mm,1472 mm,1464 mm,175 mm,663 l,170 l,954 mm
Opel GT II 2.0 turbo ECOTEC 264KM 194kW 2006-2009,gt,ii,silnik-benzynowy-2.0-turbo-ecotec-264km-2006-2009,2,2,10.0 m,5.0 m,4100 mm,1813 mm,1274 mm,2415 mm,1543 mm,1561 mm,125 mm,153 l,66 l,od 2006 do 2009 roku
Peugeot 807 Minivan,peugeot,807,minivan,5,7,12.3 m,6.2 m,4727 mm,1850 mm,2194 mm,1759 mm,1880 mm,2825 mm,140 mm,1680 mm,1686 mm,1530 mm
Opel Combo B,opel,combo,b,3,2,4230 mm,1686 mm,1853 mm,2480 mm,1380 mm,1310 mm,720 mm,1030 mm,630 mm,1427 mm,1142 mm,1788 mm
Peugeot 505 Kombi,peugeot,505,kombi,5,5,4898 mm,1730 mm,1540 mm,2900 mm,1470 mm,1400 mm,773 mm,1225 mm,2240 l,1120 l,1155 mm,825 mm
Opel Corsa C,opel,corsa,c,5,5,9.9 m,5.0 m,3839 mm,1646 mm,1955 mm,1440 mm,2491 mm,1429 mm,1420 mm,135 mm,460 l,260 l
Peugeot 807 Tepee,peugeot,807,tepee,5,7,12.1 m,6.0 m,4727 mm,1854 mm,2194 mm,1752 mm,1880 mm,2823 mm,1570 mm,1548 mm,1013 mm,891 mm
Peugeot 407 Sedan,peugeot,407,sedan,4,5,12.2 m,6.1 m,4676 mm,1811 mm,1447 mm,2725 mm,1552 mm,1518 mm,1029 mm,922 mm,156 mm,1467 l
Peugeot 407 SW 2.0 16V 136KM 2005,peugeot,407,coupe,2,4,10.8 m,5.4 m,4815 mm,1868 mm,1395 mm,2724 mm,1571 mm,1567 mm,1084 mm,1007 mm,120 mm,466 l
Peugeot 407 SW 1.6 HDi FAP 109KM 2004,peugeot,407,sw,5,5,12.1 m,6.0 m,4763 mm,1811 mm,1486 mm,2725 mm,1554 mm,1510 mm,1029 mm,1009 mm,140 mm,876 mm
Peugeot 406 Kombi,peugeot,406,kombi,5,5,10.8 m,5.4 m,4740 mm,1760 mm,1455 mm,1505 mm,2700 mm,1500 mm,1480 mm,937 mm,1103 mm,130 mm
Peugeot 206 Hatchback,peugeot,206,hatchback,5,5,10.2 m,5.1 m,3822 mm,1652 mm,1426 mm,2445 mm,1419 mm,1407 mm,776 mm,601 mm,144 mm,1130 l
Peugeot 207 Hatchback 3d 1.6 THP 150KM 2007,peugeot,207,hatchback-5d,5,5,10.4 m,5.2 m,4045 mm,1772 mm,1972 mm,1472 mm,2540 mm,1475 mm,1469 mm,165 mm,751 l,337 l
Peugeot 301 Sedan 1.6 VTi 115KM 2017,peugeot,301,sedan,4,5,4442 mm,1748 mm,1953 mm,1466 mm,2652 mm,816 mm,974 mm,465 mm,892 mm,801 mm,849 mm,1409 mm
Peugeot 207 Hatchback 3d,peugeot,207,hatchback-3d,3,5,4030 mm,1720 mm,1472 mm,2540 mm,1474 mm,1469 mm,829 mm,661 mm,610 mm,635 mm,870 mm,899 mm
Peugeot 301 Sedan Facelifting,peugeot,301,sedan-facelifting,4,5,10.6 m,5.3 m,4445 mm,1748 mm,1953 mm,1466 mm,2652 mm,1501 mm,1478 mm,819 mm,974 mm,130 mm
Peugeot 207 SW,peugeot,207,sw,5,5,4156 mm,1748 mm,1972 mm,1555 mm,2540 mm,1475 mm,1468 mm,836 mm,780 mm,870 mm,888 mm,471 mm
Peugeot 107 Hatchback 3d,peugeot,107,hatchback-3d,3,3430 mm,1630 mm,1855 mm,1470 mm,2340 mm,1415 mm,1405 mm,645 mm,445 mm,868 mm,843 mm,1377 mm,1336 mm
Peugeot Partner I,peugeot,partner,i,4,5,4137 mm,1724 mm,1960 mm,1810 mm,2693 mm,1420 mm,1440 mm,836 mm,608 mm,570 mm,1340 mm,1160 mm
Peugeot Traveller Compact,peugeot,traveller,compact,5,5,11.3 m,4606 mm,1920 mm,2204 mm,1890 mm,2925 mm,1627 mm,1600 mm,881 mm,803 mm,145 mm,165 mm
Peugeot Rifter Long,peugeot,rifter,long,5,5,11.8 m,5.9 m,4753 mm,1848 mm,2107 mm,1921 mm,1840 mm,1881 mm,2975 mm,1553 mm,1567 mm,892 mm
Peugeot Rifter Standard 1.5 BlueHDI 102KM 2018,peugeot,rifter,standard,5,5,10.9 m,5.5 m,4403 mm,1848 mm,2107 mm,1921 mm,1837 mm,1878 mm,2785 mm,1553 mm,1567 mm,892 mm
Mazda Tribute I 2.0 16V 124KM 2003,tribute,ii,silnik-benzynowy-2.3-150km-2007-2011,5,5,4442 mm,1806 mm,1783 mm,2619 mm,220 mm,1712 l,841 l,od 2007 do 2011 roku,benzynowy,150 , (110 ,)
Peugeot Traveller Long Business,peugeot,traveller,long-business,5,8,12.4 m,5308 mm,1920 mm,2204 mm,1890 mm,3275 mm,1627 mm,1600 mm,881 mm,1153 mm,145 mm,165 mm
Peugeot Traveller Standard Business,peugeot,traveller,standard-business,5,8,12.4 m,4956 mm,1920 mm,2204 mm,1890 mm,3275 mm,1627 mm,1600 mm,881 mm,803 mm,145 mm,165 mm
Peugeot Traveller Compact Business,peugeot,traveller,compact-business,5,6,12.4 m,4606 mm,1920 mm,2204 mm,1890 mm,2925 mm,1627 mm,1600 mm,881 mm,803 mm,145 mm,165 mm
Peugeot Traveller Compact Elektryczny 50 kWh 136KM 2022,peugeot,traveller,long,5,8,12.4 m,5308 mm,1920 mm,2204 mm,1890 mm,3275 mm,1627 mm,1600 mm,881 mm,1153 mm,145 mm,165 mm
Peugeot Traveller Standard,peugeot,traveller,standard,5,8,12.4 m,4956 mm,1920 mm,2204 mm,1890 mm,3275 mm,1627 mm,1600 mm,881 mm,803 mm,145 mm,165 mm
Peugeot Traveller Long Business Elektryczny,peugeot,traveller,long-business-elektryczny,5,5,12.4 m,5306 mm,1920 mm,2010 mm,2204 mm,1900 mm,3275 mm,1627 mm,1600 mm,881 mm,1153 mm,1700 l
Peugeot Traveller Standard Business Elektryczny,peugeot,traveller,standard-business-elektryczny,5,5,12.4 m,4959 mm,1920 mm,2010 mm,2204 mm,1900 mm,3275 mm,1627 mm,1600 mm,881 mm,803 mm,1700 l
Peugeot Rifter Standard 1.2 PureTech 110KM 2022,rifter,e-long,silnik-elektryczny-50-kwh-136km-od-2021,5,5,11.5 m,4753 mm,1848 mm,2107 mm,1921 mm,1840 mm,1879 mm,2975 mm,1553 mm,1567 mm,180 mm,2693 l
Peugeot Traveller Long Elektryczny,peugeot,traveller,long-elektryczny,5,5,12.4 m,5306 mm,1920 mm,2010 mm,2204 mm,1900 mm,3275 mm,1627 mm,1600 mm,881 mm,1153 mm,1700 l
Peugeot Rifter e-Standard 50 kWh 136KM 100kW od 2021,rifter,e-standard,silnik-elektryczny-50-kwh-136km-od-2021,5,5,10.8 m,5.4 m,4403 mm,1848 mm,2107 mm,1921 mm,1837 mm,1874 mm,2785 mm,1553 mm,1567 mm,180 mm
Peugeot Traveller Standard Elektryczny,peugeot,traveller,standard-elektryczny,5,5,12.4 m,4959 mm,1920 mm,2010 mm,2204 mm,1900 mm,3275 mm,1627 mm,1600 mm,881 mm,803 mm,1700 l
Peugeot 107 Hatchback 3d Facelifting,peugeot,107,hatchback-3d-facelifting,3,4,4.7 m,3430 mm,1530 mm,1855 mm,1470 mm,2340 mm,1415 mm,1405 mm,645 mm,445 mm,868 mm,843 mm
Peugeot Traveller Compact Elektryczny 50 kWh 136KM 100kW od 2020,traveller,compact-elektryczny,silnik-elektryczny-50-kwh-136km-od-2020,5,5,11.3 m,4609 mm,1920 mm,2010 mm,2204 mm,1900 mm,2925 mm,1627 mm,1600 mm,881 mm,803 mm,1700 l
Peugeot 107 Hatchback 5d Facelifting 2012 1.0 VTI 68KM 50kW 2012-2013,107,hatchback-5d-facelifting-2012,silnik-benzynowy-1.0-vti-68km-2012-2013,5,4,3430 mm,1630 mm,1855 mm,1470 mm,2340 mm,1415 mm,1405 mm,645 mm,445 mm,751 l,139 l,od 2012 do 2013 roku
Peugeot 107 Hatchback 3d Facelifting 2012 1.0 VTI 68KM 50kW 2012-2013,107,hatchback-3d-facelifting-2012,silnik-benzynowy-1.0-vti-68km-2012-2013,3,4,3430 mm,1630 mm,1855 mm,1470 mm,2340 mm,1415 mm,1405 mm,645 mm,445 mm,712 l,139 l,od 2012 do 2013 roku
Mazda Premacy II,mazda,premacy,ii,5,7,4565 mm,1745 mm,1615 mm,2750 mm,1530 mm,1520 mm,140 mm,995 mm,495 mm,940 mm,495 mm,2520 mm
Mazda CX-7 SUV Facelifting 2.2 MZR-CD 173KM 2010,mazda,cx-7,suv,5,5,10.4 m,5.2 m,4675 mm,1872 mm,1645 mm,2750 mm,1617 mm,1612 mm,200 mm,1535 mm,1295 mm,1348 l
Mazda CX-9 2016,cx-9,suv-facelifting,silnik-benzynowy-3.7-v6-277km-2012-2016,5,7,12.4 m,6.2 m,5106 mm,1936 mm,1728 mm,2875 mm,1654 mm,1644 mm,1098 mm,1133 mm,200 mm,2852 l
Mazda 5 I 2.0 MZR 145KM 2005,mazda,5,i,5,5,10.6 m,5.3 m,4505 mm,1755 mm,1998 mm,1665 mm,2750 mm,1530 mm,1520 mm,122 mm,1566 l,112 l
Mazda 5 I 1.8 MZR 115KM 2010,mazda,5,ii,5,7,10.6 m,5.3 m,4585 mm,1750 mm,1988 mm,1615 mm,2750 mm,1530 mm,1520 mm,130 mm,1034 mm,1000 mm
Mazda CX-7 SUV Facelifting,mazda,cx-7,suv-facelifting,5,5,6.1 m,4700 mm,1870 mm,1645 mm,2750 mm,1615 mm,1610 mm,208 mm,1009 mm,998 mm,1472 mm,1417 mm
Mazda Millenia II,mazda,millenia,ii,4,5,4821 mm,1770 mm,1395 mm,2745 mm,1519 mm,1519 mm,140 mm,950 mm,505 mm,885 mm,505 mm,420 l
Mazda MPV III,mazda,mpv,iii,5,7,4860 mm,1850 mm,1685 mm,2950 mm,1610 mm,1605 mm,155 mm,980 mm,520 mm,990 mm,495 mm,2635 mm
Lexus UX Crossover,lexus,ux,crossover,5,5,10.4 m,5.2 m,4495 mm,1840 mm,1520 mm,1540 mm,2640 mm,1550 mm,1550 mm,970 mm,885 mm,160 mm
Lexus RX I,lexus,rx,i,5,5,4575 mm,1815 mm,1670 mm,2620 mm,1565 mm,1550 mm,195 mm,1003 mm,996 mm,1468 mm,1448 mm,1402 mm
Lexus RC Coupe F,lexus,rc,coupe-f,2,4,10.8 m,5.4 m,4704 mm,1849 mm,2070 mm,1389 mm,2730 mm,1555 mm,1560 mm,930 mm,1045 mm,124 mm
Mazda CX-3 Crossover,mazda,cx-3,crossover,5,5,11.4 m,5.7 m,4275 mm,1765 mm,2049 mm,1535 mm,1550 mm,2570 mm,1525 mm,1520 mm,910 mm,795 mm
Lexus UX Crossover Facelifting,lexus,ux,crossover-facelifting,5,5,11.2 m,5.6 m,4495 mm,1840 mm,1540 mm,2640 mm,1550 mm,1550 mm,970 mm,885 mm,160 mm,455 l
Lexus RX I 3.0 4WD 201KM 2003,lexus,rx,ii,5,5,10.9 m,5.5 m,4729 mm,4770 mm,1844 mm,1679 mm,2715 mm,1580 mm,1570 mm,240 mm,998 mm,980 mm
Mazda CX-3 Crossover Facelifting,mazda,cx-3,crossover-facelifting,5,5,10.6 m,5.3 m,4275 mm,1765 mm,1535 mm,2570 mm,1523 mm,1521 mm,155 mm,1260 l,350 l,50 kg
Lexus LC 2021,lexus,lc,coupe,2,4,10.6 m,5.3 m,4760 mm,1920 mm,1345 mm,2870 mm,920 mm,970 mm,1067 mm,945 mm,818 mm,1435 mm
Lexus RC Coupe,lexus,rc,coupe,2,4,10.8 m,5.4 m,4695 mm,1840 mm,2069 mm,1395 mm,2730 mm,1580 mm,1600 mm,930 mm,1035 mm,134 mm
Lexus UX e-Crossover 300e 204KM 150kW od 2021,ux,e-crossover,silnik-elektryczny-300e-204km-od-2021,5,5,10.4 m,4495 mm,1840 mm,2078 mm,1545 mm,2640 mm,140 mm,367 l,14.0 °,23.0 °,26.0 °,od 2021 roku
Lexus LC Cabrio 500 V8 477KM 351kW od 2020,lc,cabrio,silnik-benzynowy-500-v8-477km-od-2020,2,4,10.8 m,5.4 m,4760 mm,1920 mm,1350 mm,2870 mm,1630 mm,1635 mm,133 mm,150 l,od 2020 roku,4969 cm³
Lexus RC Coupe Facelifting 300h 241KM 177kW 2018-2021,rc,coupe-facelifting,silnik-hybrydowy-300h-241km-2018-2021,2,4,10.5 m,5.2 m,4699 mm,1839 mm,2070 mm,1394 mm,2730 mm,1580 mm,1570 mm,135 mm,960 mm,884 mm
Lexus LS II 4.0 294KM 216kW 1996-2000,ls,ii,silnik-benzynowy-4.0-294km-1996-2000,4,5,5005 mm,1830 mm,1435 mm,2850 mm,1570 mm,1570 mm,465 l,od 1996 do 2000 roku,3969 cm³,benzynowy,294 , (216 
Lexus RC Coupe 200t 245KM 2018,rc,coupe-f-facelifting,silnik-benzynowy-5.0-v8-464km-od-2019,2,4,10.6 m,5.3 m,4710 mm,1845 mm,2050 mm,1390 mm,2730 mm,930 mm,1050 mm,115 mm,366 l,od 2019 roku
Lexus CT Hatchback 5d 200h 136KM 100kW 2010-2013,ct,hatchback-5d,silnik-hybrydowy-200h-136km-2010-2013,5,5,4320 mm,1765 mm,1430 mm,2600 mm,920 mm,800 mm,985 l,375 l,od 2010 do 2013 roku,1798 cm³,hybrydowy,136 
Lexus CT 2017,ct,hatchback-5d-facelifting-2017,silnik-hybrydowy-200h-136km-2017-2021,5,5,10.4 m,5.2 m,4355 mm,1765 mm,2050 mm,1445 mm,2600 mm,1535 mm,1530 mm,945 mm,810 mm,130 mm
Lexus CT Hatchback 5d Facelifting 200h 136KM 100kW 2014-2017,ct,hatchback-5d-facelifting,silnik-hybrydowy-200h-136km-2014-2017,5,5,4374 mm,1765 mm,1985 mm,1455 mm,2600 mm,od 2014 do 2017 roku,1798 cm³,hybrydowy,136 , (100 ,) przy 5200 obr/min,142 
Porsche Taycan Grand Tourer,porsche,taycan,grand-tourer,5,4,11.2 m,5.6 m,4963 mm,1966 mm,2144 mm,1378 mm,2900 mm,1690 mm,1655 mm,90 mm,366 l,75 kg
Porsche Taycan Sport Tourismo,porsche,taycan,sport-tourismo,5,4,11.7 m,5.8 m,4963 mm,2146 mm,2146 mm,1969 mm,1392 mm,2901 mm,127 mm,1212 l,447 l,75 kg
Porsche 944 Coupe,porsche,944,coupe,2,4,4200 mm,1735 mm,3500 mm,1275 mm,1900 mm,1650 mm,2400 mm,1477 mm,1451 mm,829 mm,971 mm,125 mm
Lexus ES I 2.5 158KM 116kW 1989-1991,es,i,silnik-benzynowy-2.5-158km-1989-1991,4,5,4651 mm,1699 mm,1350 mm,2601 mm,1476 mm,1445 mm,960 mm,930 mm,371 l,od 1989 do 1991 roku,2507 cm³,benzynowy
Porsche 356 Coupe,porsche,356,coupe,2,4,3950 mm,1275 mm,2100 mm,1306 mm,1272 mm,850 mm,1000 mm,350 mm,577 mm,920 mm,605 mm,850 mm
Porsche Macan SUV,porsche,macan,suv,5,5,10.9 m,5.5 m,4681 mm,1923 mm,2098 mm,1624 mm,2807 mm,1655 mm,1651 mm,205 mm,1500 l,500 l
Porsche 944 Coupe 2.5 Turbo 220KM 1987,944,cabrio,silnik-benzynowy-3.0-s2-211km-1988-1991,2,4,4300 mm,1740 mm,1280 mm,2410 mm,od 1988 do 1991 roku,2990 cm³,benzynowy,211 , (155 ,) przy 5800 obr/min,280 , przy 4100 obr/min
Porsche Macan SUV Facelifting,porsche,macan,suv-facelifting,5,5,11.1 m,5.5 m,4696 mm,1923 mm,2098 mm,1624 mm,2807 mm,1655 mm,1651 mm,190 mm,205 mm,1503 l
Porsche Macan SUV Facelifting II,porsche,macan,suv-facelifting-ii,5,5,12.0 m,4726 mm,1922 mm,2097 mm,1621 mm,2807 mm,202 mm,1503 l,458 l,16.8 °,16.7 °,23.4 °
Wartburg 353 Sedan,wartburg,353,sedan,4,5,4222 mm,1640 mm,1495 mm,2450 mm,1000 mm,1300 mm,730 mm,1040 mm,160 mm,1030 mm,920 mm,710 mm
TATA Xenon Double Cab 2.2 DICOR 140KM 103kW 2008-2011,xenon,double-cab,silnik-diesla-2.2-dicor-140km-2008-2011,4,5,6.0 m,5125 mm,1860 mm,1765 mm,3150 mm,200 mm,24.0 °,15.0 °,21.0 °,1000 kg,od 2008 do 2011 roku,2179 cm³
TATA Xenon Single Cab 2.2 DICOR 140KM 103kW 2008-2011,xenon,single-cab,silnik-diesla-2.2-dicor-140km-2008-2011,2,2,6.0 m,4800 mm,1860 mm,1765 mm,2825 mm,200 mm,24.0 °,15.0 °,21.0 °,1110 kg,od 2008 do 2011 roku,2179 cm³
UAZ 3160 Simbir 31605 2.89 102KM 75kW 2000-2007,3160-simbir,31605,silnik-benzynowy-2.89-102km-2000-2007,5,7,4240 mm,1828 mm,1935 mm,2400 mm,1445 mm,1445 mm,od 2000 do 2007 roku,2890 cm³,benzynowy,102 , (75 ,)
UAZ 3160 Simbir 31601 2.9 98KM 72kW 1999-2005,3160-simbir,31601,silnik-benzynowy-2.9-98km-1999-2005,5,5,4630 mm,1528 mm,2060 mm,2626 mm,1948 mm,2760 mm,1445 mm,1445 mm,833 mm,739 mm,210 mm,1330 mm
UAZ 3160 Simbir 31602 2.7 132KM 97kW 1999-2007,3160-simbir,31602,silnik-benzynowy-2.7-132km-1999-2007,5,7,4240 mm,1528 mm,2020 mm,5580 mm,1935 mm,2400 mm,1445 mm,1445 mm,760 mm,705 mm,210 mm,716 mm
Saab 9-5 III,saab,9-5,iii,4,5,5008 mm,1868 mm,2114 mm,1466 mm,2837 mm,1585 mm,1585 mm,1022 mm,1149 mm,1073 mm,964 mm,985 mm
Saab 9000 II,saab,9000,ii,4,5,4780 mm,1764 mm,1420 mm,2672 mm,1522 mm,1492 mm,1012 mm,1096 mm,1055 mm,980 mm,985 mm,950 mm
Saab 9000 I,saab,9000,i,4,5,4620 mm,1764 mm,1420 mm,2672 mm,1522 mm,1492 mm,965 mm,983 mm,1055 mm,980 mm,985 mm,950 mm
UAZ 3151 3151 2.45 90KM 66kW 1989-1998,3151,3151,silnik-benzynowy-2.45-90km-1989-1998,5,7,4025 mm,1785 mm,2010 mm,3200 mm,2081 mm,2380 mm,1453 mm,1453 mm,680 mm,715 mm,300 mm,1698 mm
Pontiac Trans Sport II 3.4 i V6 182KM 134kW 1996-1998,trans-sport,ii,silnik-benzynowy-3.4-i-v6-182km-1996-1998,4,5,4750 mm,1845 mm,1710 mm,2845 mm,3580 l,od 1996 do 1998 roku,3350 cm³,benzynowy,182 , (134 ,) przy 5200 obr/min,279 
Pontiac Bonneville I 3.8 i V6 167KM 123kW 1986-1991,bonneville,i,silnik-benzynowy-3.8-i-v6-167km-1986-1991,4,5,5050 mm,1831 mm,1410 mm,2814 mm,1532 mm,1520 mm,510 l,od 1986 do 1991 roku,3791 cm³,benzynowy,167 , (123 
Rolls-Royce Phantom Limuzyna SWB 6.7 460KM 338kW od 2003,phantom,limuzyna-swb,silnik-benzynowy-6.7-460km-od-2003,4,5,13.8 m,5842 mm,1990 mm,1638 mm,3570 mm,1686 mm,1676 mm,1042 mm,1047 mm,1104 mm,979 mm,1509 mm
Rolls-Royce Phantom Limuzyna EWB 6.7 460KM 338kW od 2005,phantom,limuzyna-ewb,silnik-benzynowy-6.7-460km-od-2005,4,5,14.0 m,6092 mm,1990 mm,1640 mm,3820 mm,1686 mm,1676 mm,1042 mm,1047 mm,1349 mm,979 mm,1509 mm
Rolls-Royce Phantom Drophead Coupe 6.7 460KM 338kW od 2008,phantom,drophead-coupe,silnik-benzynowy-6.7-460km-od-2008,2,4,13.1 m,5612 mm,1987 mm,1566 mm,3320 mm,1686 mm,1676 mm,1040 mm,1026 mm,936 mm,943 mm,1491 mm
Rolls-Royce Phantom Coupe 6.7 460KM 338kW od 2008,phantom,coupe,silnik-benzynowy-6.7-460km-od-2008,2,4,13.1 m,5612 mm,1987 mm,1598 mm,3320 mm,1686 mm,1676 mm,1040 mm,1021 mm,936 mm,943 mm,1491 mm
Pontiac Montana II,pontiac,montana,ii,5,7,5103 mm,1829 mm,1730 mm,3984 mm,1570 mm,1608 mm,168 mm,1014 mm,998 mm,1519 mm,1572 mm,2396 l
Pontiac Firebird III,pontiac,firebird,iii,2,4,4777 mm,1838 mm,1271 mm,2566 mm,1541 mm,1564 mm,940 mm,905 mm,1460 mm,1430 mm,1430 mm,1087 mm
Rolls-Royce Ghost EWB V 6.6 601KM 442kW od 2010,ghost,ewb-v,silnik-benzynowy-6.6-601km-od-2010,4,5,14.0 m,5569 mm,1948 mm,1550 mm,3465 mm,1622 mm,1660 mm,1060 mm,1030 mm,1245 mm,990 mm,1510 mm
UAZ 3160 Simbir 31608 2.24 D 98KM 72kW 2002-2006,3160-simbir,31608,silnik-benzynowy-2.24-d-98km-2002-2006,5,7,4313 mm,2060 mm,2060 mm,2400 mm,1445 mm,1445 mm,830 mm,1060 mm,210 mm,od 2002 do 2006 roku,benzynowy,98 
UAZ 3160 Simbir 31604 2.5 TDI 103KM 76kW 2000-2004,3160-simbir,31604,silnik-diesla-2.5-tdi-103km-2000-2004,5,7,4240 mm,1828 mm,1935 mm,2400 mm,1445 mm,1445 mm,od 2000 do 2004 roku,2500 cm³,diesel,103 , (76 ,)
Rolls-Royce Ghost EWB 6.6 570KM 419kW od 2010,ghost,ewb,silnik-benzynowy-6.6-570km-od-2010,4,5,14.0 m,5569 mm,1948 mm,1550 mm,3465 mm,1510 mm,1418 mm,1060 mm,1030 mm,1245 mm,990 mm,1510 mm
Rover Mini Cabrio 1.3 63KM 46kW 1992-1995,mini,cabrio,silnik-benzynowy-1.3-63km-1992-1995,2,5,3100 mm,1440 mm,1350 mm,2035 mm,1234 mm,1203 mm,120 l,od 1992 do 1995 roku,1273 cm³,benzynowy,63 , (46 
Rover 45 Sedan 2.0 TD 101KM 2005,rover,45,sedan,4,5,4520 mm,1700 mm,1920 mm,1394 mm,2620 mm,1480 mm,1470 mm,1060 mm,940 mm,850 mm,930 mm,1340 mm
Rover 75 Sedan 2.0 V6 150KM 2001,rover,75,kombi,5,5,4792 mm,1778 mm,1970 mm,1440 mm,1460 mm,2750 mm,1510 mm,1510 mm,1060 mm,990 mm,920 mm,970 mm
Rolls-Royce Ghost SWB 6.6 570KM 419kW od 2010,ghost,swb,silnik-benzynowy-6.6-570km-od-2010,4,5,13.4 m,5399 mm,1948 mm,1550 mm,3295 mm,1622 mm,1660 mm,1060 mm,1075 mm,1075 mm,990 mm,1510 mm
Rover 75 Sedan,rover,75,sedan,4,5,4750 mm,1780 mm,1970 mm,1430 mm,2750 mm,1519 mm,1510 mm,1060 mm,950 mm,910 mm,950 mm,1400 mm
Rolls-Royce Ghost SWB V 6.6 601KM 442kW od 2010,ghost,swb-v,silnik-benzynowy-6.6-601km-od-2010,4,5,13.4 m,5399 mm,1948 mm,1550 mm,3295 mm,1622 mm,1660 mm,1060 mm,1030 mm,1075 mm,990 mm,1510 mm
Rover 100 I,rover,100,i,3,5,3570 mm,1560 mm,1780 mm,1380 mm,2270 mm,1350 mm,1360 mm,1010 mm,960 mm,770 mm,930 mm,1290 mm
Rover 45 Hatchback,rover,45,hatchback,5,5,4362 mm,1700 mm,1920 mm,1394 mm,2620 mm,1480 mm,1470 mm,1060 mm,940 mm,830 mm,920 mm,1340 mm
Rover 100 II,rover,100,ii,5,5,3570 mm,1560 mm,1780 mm,1380 mm,2270 mm,1350 mm,1360 mm,1020 mm,950 mm,770 mm,930 mm,1290 mm
Rover 25 Hatchback,rover,25,hatchback,5,5,3990 mm,1690 mm,1900 mm,1420 mm,2500 mm,1470 mm,1470 mm,1060 mm,950 mm,810 mm,930 mm,1360 mm
Rover 200 III,rover,200,iii,5,5,3973 mm,1690 mm,1890 mm,1420 mm,2502 mm,1470 mm,1470 mm,1060 mm,950 mm,810 mm,930 mm,1360 mm
